Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
8:00p,Oklahoma City Thunder,98,Memphis Grizzlies,95,Box Score,,"18,119",2:33,FedEx Forum,
8:30p,Los Angeles Clippers,90,San Antonio Spurs,115,Box Score,,"18,581",2:14,AT&T Center,
9:00p,Philadelphia 76ers,103,Phoenix Suns,83,Box Score,,"16,360",2:04,US Airways Center,
9:00p,Utah Jazz,100,Denver Nuggets,117,Box Score,,"19,155",2:04,Pepsi Center,
10:30p,New York Knicks,78,Golden State Warriors,92,Box Score,,"19,596",2:16,Oracle Arena,
7:00p,New Jersey Nets,78,Orlando Magic,94,Box Score,,"18,954",2:16,Amway Center,
8:00p,San Antonio Spurs,85,Houston Rockets,105,Box Score,,"18,267",1:57,Toyota Center,
8:00p,Dallas Mavericks,102,Oklahoma City Thunder,104,Box Score,,"18,203",2:34,Chesapeake Energy Arena,
10:00p,Denver Nuggets,102,Portland Trail Blazers,111,Box Score,,"20,531",2:13,Rose Garden Arena,
10:00p,Chicago Bulls,108,Sacramento Kings,98,Box Score,,"17,317",2:19,Power Balance Pavilion,
10:30p,New York Knicks,82,Los Angeles Lakers,99,Box Score,,"18,997",2:32,STAPLES Center,
7:00p,Orlando Magic,100,Charlotte Bobcats,79,Box Score,,"18,064",2:11,Time Warner Cable Arena,
7:00p,Cleveland Cavaliers,91,Indiana Pacers,98,Box Score,OT,"13,004",2:47,Bankers Life Fieldhouse,
7:30p,New Jersey Nets,98,Atlanta Hawks,105,Box Score,,"16,300",,Philips Arena,
7:30p,Detroit Pistons,85,Boston Celtics,96,Box Score,,"18,624",2:09,TD Garden,
8:00p,Phoenix Suns,93,New Orleans Hornets,78,Box Score,,"15,790",2:14,New Orleans Arena,
8:00p,Houston Rockets,93,Memphis Grizzlies,113,Box Score,,"16,069",2:10,FedEx Forum,
8:00p,Miami Heat,103,Minnesota Timberwolves,101,Box Score,,"19,356",2:16,Target Center,
8:30p,Toronto Raptors,86,Dallas Mavericks,99,Box Score,,"20,307",2:14,American Airlines Center,
8:30p,Washington Wizards,81,Milwaukee Bucks,102,Box Score,,"17,065",2:04,Bradley Center,
9:00p,Philadelphia 76ers,99,Utah Jazz,102,Box Score,,"19,911",2:16,EnergySolutions Arena,
10:30p,Chicago Bulls,114,Los Angeles Clippers,101,Box Score,,"19,426",2:20,STAPLES Center,
3:30p,Denver Nuggets,89,Los Angeles Lakers,92,Box Score,,"18,997",2:17,STAPLES Center,
6:00p,Indiana Pacers,88,Detroit Pistons,96,Box Score,,"8,824",2:17,The Palace of Auburn Hills,
7:00p,Atlanta Hawks,84,Houston Rockets,95,Box Score,,"14,390",1:58,Toyota Center,
8:00p,Phoenix Suns,97,Oklahoma City Thunder,107,Box Score,,"18,203",2:04,Chesapeake Energy Arena,
8:00p,New York Knicks,114,Sacramento Kings,92,Box Score,,"16,175",2:20,Power Balance Pavilion,
8:30p,Utah Jazz,89,San Antonio Spurs,104,Box Score,,"17,769",2:05,AT&T Center,
9:00p,Philadelphia 76ers,107,Golden State Warriors,79,Box Score,,"19,084",2:01,Oracle Arena,
7:00p,Washington Wizards,84,Cleveland Cavaliers,94,Box Score,,"20,562",2:09,Quicken Loans Arena,
8:00p,Boston Celtics,107,Miami Heat,120,Box Score,,"20,296",2:30,AmericanAirlines Arena,
10:30p,Dallas Mavericks,99,Los Angeles Lakers,91,Box Score,,"18,997",2:26,STAPLES Center,
7:00p,Denver Nuggets,75,Philadelphia 76ers,84,Box Score,,"19,101",2:08,Wells Fargo Center,
7:00p,Indiana Pacers,90,Toronto Raptors,88,Box Score,,"19,800",2:22,Air Canada Centre,
7:30p,Houston Rockets,105,Detroit Pistons,96,Box Score,,"16,646",2:25,The Palace of Auburn Hills,
8:00p,Sacramento Kings,87,Chicago Bulls,93,Box Score,,"21,313",2:28,United Center,
8:00p,San Antonio Spurs,99,New Orleans Hornets,95,Box Score,,"15,358",2:11,New Orleans Arena,
9:00p,Dallas Mavericks,94,Utah Jazz,113,Box Score,,"17,634",2:22,EnergySolutions Arena,
10:00p,Golden State Warriors,87,Phoenix Suns,85,Box Score,,"15,678",2:20,US Airways Center,
10:30p,Memphis Grizzlies,92,Los Angeles Clippers,101,Box Score,,"19,060",2:35,STAPLES Center,
10:30p,Los Angeles Lakers,106,Portland Trail Blazers,116,Box Score,,"20,401",2:23,Rose Garden Arena,
7:00p,Orlando Magic,87,Indiana Pacers,97,Box Score,,"18,165",2:17,Bankers Life Fieldhouse,
8:00p,Chicago Bulls,95,Miami Heat,107,Box Score,,"19,964",2:32,AmericanAirlines Arena,
10:30p,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,,"18,997",2:27,STAPLES Center,
7:00p,Brooklyn Nets,94,Cleveland Cavaliers,98,Box Score,,"20,562",2:23,Quicken Loans Arena,
7:00p,Boston Celtics,87,Toronto Raptors,93,Box Score,,"20,155",2:22,Air Canada Centre,
7:00p,Miami Heat,110,Philadelphia 76ers,114,Box Score,,"19,523",2:14,Wells Fargo Center,
7:30p,Washington Wizards,102,Detroit Pistons,113,Box Score,,"19,258",2:26,The Palace of Auburn Hills,
7:30p,Milwaukee Bucks,83,New York Knicks,90,Box Score,,"19,812",2:23,Madison Square Garden (IV),
8:00p,Indiana Pacers,95,New Orleans Pelicans,90,Box Score,,"17,803",2:27,Smoothie King Center,
8:00p,Orlando Magic,115,Minnesota Timberwolves,120,Box Score,OT,"17,988",2:36,Target Center,
