Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
7:30p,Orlando Magic,99,Atlanta Hawks,103,Box Score,,"17,078",2:18,State Farm Arena,
7:30p,Boston Celtics,118,New York Knicks,95,Box Score,,"19,812",2:15,Madison Square Garden (IV),
8:00p,Toronto Raptors,108,Chicago Bulls,84,Box Score,,"21,498",2:11,United Center,
8:00p,Indiana Pacers,99,Cleveland Cavaliers,110,Box Score,,"19,432",2:20,Rocket Mortgage Fieldhouse,
8:00p,New Orleans Pelicans,123,Houston Rockets,126,Box Score,,"18,055",2:23,Toyota Center,
8:30p,Washington Wizards,122,San Antonio Spurs,124,Box Score,,"18,354",2:09,AT&T Center,
9:00p,Sacramento Kings,81,Utah Jazz,113,Box Score,,"18,306",2:03,Vivint Smart Home Arena,
10:00p,Los Angeles Clippers,122,Phoenix Suns,130,Box Score,,"15,802",2:39,Talking Stick Resort Arena,
3:30p,Golden State Warriors,92,Oklahoma City Thunder,120,Box Score,,"18,203",2:11,Chesapeake Energy Arena,
6:00p,Brooklyn Nets,133,Memphis Grizzlies,134,Box Score,OT,"15,517",2:41,FedEx Forum,
7:00p,Portland Trail Blazers,121,Dallas Mavericks,119,Box Score,,"19,707",2:25,American Airlines Center,
7:00p,Miami Heat,109,Minnesota Timberwolves,116,Box Score,,"17,049",2:16,Target Center,
9:30p,Charlotte Hornets,101,Los Angeles Lakers,120,Box Score,,"18,997",2:16,STAPLES Center,
7:00p,Chicago Bulls,98,New York Knicks,105,Box Score,,"19,812",2:17,Madison Square Garden (IV),
7:00p,Indiana Pacers,94,Detroit Pistons,96,Box Score,,"13,565",2:10,Little Caesars Arena,
7:30p,Orlando Magic,95,Toronto Raptors,104,Box Score,,"19,800",2:16,Scotiabank Arena,
7:30p,Philadelphia 76ers,105,Atlanta Hawks,103,Box Score,,"14,094",2:35,State Farm Arena,
8:00p,Oklahoma City Thunder,112,Houston Rockets,116,Box Score,,"18,055",2:23,Toyota Center,
8:00p,Cleveland Cavaliers,112,Milwaukee Bucks,129,Box Score,,"17,385",2:05,Fiserv Forum,
8:00p,Golden State Warriors,134,New Orleans Pelicans,123,Box Score,,"17,307",2:13,Smoothie King Center,
8:30p,Portland Trail Blazers,110,San Antonio Spurs,113,Box Score,,"18,083",2:19,AT&T Center,
10:00p,Utah Jazz,96,Phoenix Suns,95,Box Score,,"14,805",2:30,Talking Stick Resort Arena,
10:00p,Denver Nuggets,101,Sacramento Kings,94,Box Score,,"15,870",2:16,Golden 1 Center,
10:30p,Charlotte Hornets,96,Los Angeles Clippers,111,Box Score,,"19,068",2:11,STAPLES Center,
7:30p,Atlanta Hawks,97,Miami Heat,112,Box Score,,"19,600",2:22,AmericanAirlines Arena,
9:00p,Dallas Mavericks,109,Denver Nuggets,106,Box Score,,"16,605",2:14,Pepsi Center,
10:30p,Memphis Grizzlies,91,Los Angeles Lakers,120,Box Score,,"18,997",2:20,STAPLES Center,
7:00p,Chicago Bulls,111,Cleveland Cavaliers,117,Box Score,,"17,595",2:20,Rocket Mortgage Fieldhouse,
7:00p,New York Knicks,83,Orlando Magic,95,Box Score,,"17,456",2:04,Amway Center,
7:00p,Minnesota Timberwolves,95,Philadelphia 76ers,117,Box Score,,"20,204",2:22,Wells Fargo Center,
7:30p,Milwaukee Bucks,105,Boston Celtics,116,Box Score,,"18,624",2:24,TD Garden,
7:30p,Indiana Pacers,118,Brooklyn Nets,108,Box Score,,"17,083",2:16,Barclays Center,
7:30p,Detroit Pistons,113,Toronto Raptors,125,Box Score,,"19,800",2:07,Scotiabank Arena,
8:00p,Portland Trail Blazers,102,Oklahoma City Thunder,99,Box Score,,"18,203",2:17,Chesapeake Energy Arena,
8:00p,Houston Rockets,159,Washington Wizards,158,Box Score,,"20,476",2:23,Capital One Arena,
10:00p,Charlotte Hornets,118,Sacramento Kings,111,Box Score,,"15,416",2:03,Golden 1 Center,
10:00p,Los Angeles Clippers,96,Utah Jazz,110,Box Score,,"18,306",2:16,Vivint Smart Home Arena,
10:30p,Phoenix Suns,121,Golden State Warriors,110,Box Score,,"18,064",2:17,Chase Center,
7:00p,Miami Heat,106,Atlanta Hawks,97,Box Score,,"16,539",2:17,State Farm Arena,
9:30p,Denver Nuggets,107,New Orleans Pelicans,122,Box Score,,"16,613",2:20,Smoothie King Center,
10:30p,San Antonio Spurs,97,Los Angeles Clippers,103,Box Score,,"19,068",2:17,STAPLES Center,
7:00p,Golden State Warriors,99,Brooklyn Nets,125,Box Score,,0,2:14,Barclays Center,
10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,Box Score,,0,2:28,STAPLES Center,
7:00p,Charlotte Hornets,114,Cleveland Cavaliers,121,Box Score,,300,2:11,Rocket Mortgage Fieldhouse,
7:00p,New York Knicks,107,Indiana Pacers,121,Box Score,,0,2:12,Bankers Life Fieldhouse,
7:00p,Miami Heat,107,Orlando Magic,113,Box Score,,"3,396",2:11,Amway Center,
7:00p,Washington Wizards,107,Philadelphia 76ers,113,Box Score,,0,2:25,Wells Fargo Center,
7:30p,New Orleans Pelicans,113,Toronto Raptors,99,Box Score,,"3,800",2:09,Amalie Arena,
7:30p,Milwaukee Bucks,121,Boston Celtics,122,Box Score,,0,2:20,TD Garden,
8:00p,Atlanta Hawks,124,Chicago Bulls,104,Box Score,,0,2:13,United Center,
8:00p,San Antonio Spurs,131,Memphis Grizzlies,119,Box Score,,0,2:08,FedEx Forum,
8:00p,Detroit Pistons,101,Minnesota Timberwolves,111,Box Score,,0,2:09,Target Center,
9:00p,Sacramento Kings,124,Denver Nuggets,122,Box Score,OT,0,2:36,Ball Arena,
10:00p,Utah Jazz,120,Portland Trail Blazers,100,Box Score,,0,2:03,Moda Center,
10:30p,Dallas Mavericks,102,Phoenix Suns,106,Box Score,,0,2:25,Phoenix Suns Arena,
12:00p,New Orleans Pelicans,98,Miami Heat,111,Box Score,,0,2:28,AmericanAirlines Arena,
2:30p,Golden State Warriors,99,Milwaukee Bucks,138,Box Score,,0,2:17,Fiserv Forum,
5:00p,Brooklyn Nets,123,Boston Celtics,95,Box Score,,0,2:19,TD Garden,
8:00p,Dallas Mavericks,115,Los Angeles Lakers,138,Box Score,,0,2:26,STAPLES Center,
10:30p,Los Angeles Clippers,121,Denver Nuggets,108,Box Score,,0,2:30,Ball Arena,
5:00p,Atlanta Hawks,122,Memphis Grizzlies,112,Box Score,,0,2:17,FedEx Forum,
7:00p,Oklahoma City Thunder,109,Charlotte Hornets,107,Box Score,,0,2:22,Spectrum Center,
7:00p,Cleveland Cavaliers,128,Detroit Pistons,119,Box Score,2OT,0,2:49,Little Caesars Arena,
7:00p,Orlando Magic,130,Washington Wizards,120,Box Score,,0,2:15,Capital One Arena,
7:30p,Philadelphia 76ers,109,New York Knicks,89,Box Score,,0,2:14,Madison Square Garden (IV),
8:00p,Indiana Pacers,125,Chicago Bulls,106,Box Score,,0,2:09,United Center,
8:30p,Toronto Raptors,114,San Antonio Spurs,119,Box Score,,0,2:11,AT&T Center,
9:00p,Minnesota Timberwolves,116,Utah Jazz,111,Box Score,,"1,932",2:28,Vivint Smart Home Arena,
10:00p,Houston Rockets,126,Portland Trail Blazers,128,Box Score,OT,0,2:37,Moda Center,
10:00p,Phoenix Suns,103,Sacramento Kings,106,Box Score,,0,2:13,Golden 1 Center,
3:30p,Dallas Mavericks,124,Los Angeles Clippers,73,Box Score,,0,2:04,STAPLES Center,
7:00p,San Antonio Spurs,95,New Orleans Pelicans,98,Box Score,,750,2:10,Smoothie King Center,
7:00p,Orlando Magic,120,Washington Wizards,113,Box Score,,0,2:11,Capital One Arena,
7:00p,Brooklyn Nets,104,Charlotte Hornets,106,Box Score,,0,2:11,Spectrum Center,
7:30p,Philadelphia 76ers,94,Cleveland Cavaliers,118,Box Score,,300,2:09,Rocket Mortgage Fieldhouse,
7:30p,Milwaukee Bucks,110,New York Knicks,130,Box Score,,0,2:19,Madison Square Garden (IV),
8:00p,Boston Celtics,107,Indiana Pacers,108,Box Score,,0,2:10,Bankers Life Fieldhouse,
8:00p,Golden State Warriors,129,Chicago Bulls,128,Box Score,,0,2:22,United Center,
9:00p,Phoenix Suns,116,Sacramento Kings,100,Box Score,,0,2:04,Golden 1 Center,
10:00p,Minnesota Timberwolves,91,Los Angeles Lakers,127,Box Score,,0,2:10,STAPLES Center,
7:30p,Memphis Grizzlies,116,Brooklyn Nets,111,Box Score,OT,0,2:23,Barclays Center,
7:30p,Detroit Pistons,120,Atlanta Hawks,128,Box Score,,0,2:16,State Farm Arena,
8:00p,Utah Jazz,110,Oklahoma City Thunder,109,Box Score,,0,2:03,Chesapeake Energy Arena,
9:00p,Houston Rockets,111,Denver Nuggets,124,Box Score,,0,2:16,Ball Arena,
10:00p,Portland Trail Blazers,115,Los Angeles Lakers,107,Box Score,,0,2:14,STAPLES Center,
7:00p,New York Knicks,95,Cleveland Cavaliers,86,Box Score,,300,2:04,Rocket Mortgage Fieldhouse,
7:00p,Golden State Warriors,116,Detroit Pistons,106,Box Score,,0,2:31,Little Caesars Arena,
7:00p,Boston Celtics,116,Indiana Pacers,111,Box Score,,0,2:12,Bankers Life Fieldhouse,
7:00p,Chicago Bulls,115,Washington Wizards,107,Box Score,,0,2:23,Capital One Arena,
7:00p,Toronto Raptors,93,Philadelphia 76ers,100,Box Score,,0,2:27,Wells Fargo Center,
7:30p,Milwaukee Bucks,144,Miami Heat,97,Box Score,,0,2:09,AmericanAirlines Arena,
8:00p,Orlando Magic,118,Oklahoma City Thunder,107,Box Score,,0,2:05,Chesapeake Energy Arena,
10:00p,New Orleans Pelicans,86,Phoenix Suns,111,Box Score,,0,2:09,Phoenix Suns Arena,
10:00p,Denver Nuggets,115,Sacramento Kings,125,Box Score,,0,2:14,Golden 1 Center,
10:00p,Minnesota Timberwolves,101,Los Angeles Clippers,124,Box Score,,0,2:08,STAPLES Center,
7:30p,Milwaukee Bucks,108,Miami Heat,119,Box Score,,0,2:11,AmericanAirlines Arena,
7:30p,Atlanta Hawks,141,Brooklyn Nets,145,Box Score,,0,2:09,Barclays Center,
7:30p,Memphis Grizzlies,107,Boston Celtics,126,Box Score,,0,2:03,TD Garden,
8:30p,Charlotte Hornets,118,Dallas Mavericks,99,Box Score,,0,2:20,American Airlines Center,
8:30p,Los Angeles Lakers,121,San Antonio Spurs,107,Box Score,,0,2:07,AT&T Center,
10:00p,Portland Trail Blazers,105,Los Angeles Clippers,128,Box Score,,0,2:06,STAPLES Center,
3:00p,Cleveland Cavaliers,99,Indiana Pacers,119,Box Score,,0,2:16,Bankers Life Fieldhouse,
5:00p,Chicago Bulls,133,Washington Wizards,130,Box Score,,0,2:27,Capital One Arena,
6:30p,Philadelphia 76ers,116,Orlando Magic,92,Box Score,,"3,247",2:02,Amway Center,
7:00p,Sacramento Kings,119,Houston Rockets,122,Box Score,,"3,247",2:23,Toyota Center,
7:30p,New York Knicks,83,Toronto Raptors,100,Box Score,,"3,449",2:09,Amalie Arena,
8:00p,New Orleans Pelicans,113,Oklahoma City Thunder,80,Box Score,,0,2:04,Chesapeake Energy Arena,
9:00p,Phoenix Suns,106,Utah Jazz,95,Box Score,,"1,932",2:07,Vivint Smart Home Arena,
7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,Box Score,,"17,341",2:20,Fiserv Forum,
10:00p,Golden State Warriors,121,Los Angeles Lakers,114,Box Score,,"18,997",2:33,Crypto.com Arena,
7:00p,Indiana Pacers,122,Charlotte Hornets,123,Box Score,,"15,521",2:20,Spectrum Center,
7:00p,Chicago Bulls,94,Detroit Pistons,88,Box Score,,"20,088",2:09,Little Caesars Arena,
7:30p,Boston Celtics,134,New York Knicks,138,Box Score,2OT,"19,812",2:54,Madison Square Garden (IV),
7:30p,Washington Wizards,98,Toronto Raptors,83,Box Score,,"19,800",2:15,Scotiabank Arena,
8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,Box Score,,"15,975",2:07,FedEx Forum,
8:00p,Houston Rockets,106,Minnesota Timberwolves,124,Box Score,,"16,079",2:12,Target Center,
8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,Box Score,,"12,845",2:04,Smoothie King Center,
8:30p,Orlando Magic,97,San Antonio Spurs,123,Box Score,,"16,697",2:13,AT&T Center,
9:00p,Oklahoma City Thunder,86,Utah Jazz,107,Box Score,,"18,306",2:04,Vivint Smart Home Arena,
10:00p,Sacramento Kings,124,Portland Trail Blazers,121,Box Score,,"17,467",2:18,Moda Center,
10:00p,Denver Nuggets,110,Phoenix Suns,98,Box Score,,"16,074",2:09,Phoenix Suns Arena,
7:30p,Dallas Mavericks,87,Atlanta Hawks,113,Box Score,,"17,162",2:08,State Farm Arena,
8:00p,Milwaukee Bucks,95,Miami Heat,137,Box Score,,"19,600",2:21,FTX Arena,
10:00p,Los Angeles Clippers,113,Golden State Warriors,115,Box Score,,"18,064",2:28,Chase Center,
7:00p,New York Knicks,121,Orlando Magic,96,Box Score,,"18,846",2:06,Amway Center,
7:00p,Indiana Pacers,134,Washington Wizards,135,Box Score,OT,"15,407",2:32,Capital One Arena,
7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,Box Score,,"17,116",2:05,Rocket Mortgage Fieldhouse,
7:30p,Toronto Raptors,115,Boston Celtics,83,Box Score,,"19,156",2:05,TD Garden,
7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,Box Score,,"20,367",2:21,Wells Fargo Center,
8:00p,Oklahoma City Thunder,91,Houston Rockets,124,Box Score,,"15,674",2:02,Toyota Center,
8:00p,New Orleans Pelicans,112,Chicago Bulls,128,Box Score,,"20,995",2:04,United Center,
9:00p,San Antonio Spurs,96,Denver Nuggets,102,Box Score,,"19,520",2:07,Ball Arena,
10:00p,Phoenix Suns,115,Los Angeles Lakers,105,Box Score,,"18,997",2:25,Crypto.com Arena,
10:00p,Utah Jazz,110,Sacramento Kings,101,Box Score,,"17,583",2:18,Golden 1 Center,
6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,Box Score,,"16,846",2:14,Rocket Mortgage Fieldhouse,
7:00p,Miami Heat,91,Indiana Pacers,102,Box Score,OT,"17,147",2:32,Gainbridge Fieldhouse,
7:30p,Dallas Mavericks,103,Toronto Raptors,95,Box Score,,"19,800",2:13,Scotiabank Arena,
8:00p,Detroit Pistons,82,Chicago Bulls,97,Box Score,,"18,888",2:11,United Center,
8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,Box Score,,"15,343",2:20,Target Center,
8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,Box Score,,"14,353",2:09,AT&T Center,
10:00p,Phoenix Suns,105,Portland Trail Blazers,134,Box Score,,"18,558",1:59,Moda Center,
10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,Box Score,,"16,748",2:13,Crypto.com Arena,
4:00p,Charlotte Hornets,111,Brooklyn Nets,95,Box Score,,"17,732",2:02,Barclays Center,
7:00p,Boston Celtics,107,Houston Rockets,97,Box Score,,"16,069",2:14,Toyota Center,
7:00p,Orlando Magic,110,New York Knicks,104,Box Score,,"16,273",2:23,Madison Square Garden (IV),
7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,Box Score,,"14,256",2:06,Paycom Center,
9:00p,Golden State Warriors,119,Sacramento Kings,107,Box Score,,"13,876",2:17,Golden 1 Center,
9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,Box Score,,"18,997",2:24,Crypto.com Arena,
7:00p,Boston Celtics,140,Charlotte Hornets,129,Box Score,OT,"17,238",2:29,Spectrum Center,
7:00p,Milwaukee Bucks,119,Indiana Pacers,109,Box Score,,"10,339",2:23,Gainbridge Fieldhouse,
7:30p,Chicago Bulls,111,Toronto Raptors,108,Box Score,,"19,800",2:16,Scotiabank Arena,
7:30p,Orlando Magic,90,Miami Heat,107,Box Score,,"19,600",2:12,FTX Arena,
7:30p,Washington Wizards,90,Brooklyn Nets,104,Box Score,,"14,487",2:06,Barclays Center,
7:30p,Detroit Pistons,104,Atlanta Hawks,122,Box Score,,"14,209",2:04,State Farm Arena,
8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,Box Score,,"14,435",2:14,Target Center,
9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,Box Score,,"14,221",2:06,Ball Arena,
10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,Box Score,,"15,672",2:10,Crypto.com Arena,
7:30p,Philadelphia 76ers,99,New York Knicks,112,Box Score,,"15,218",2:16,Madison Square Garden (IV),
8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,Box Score,,0,2:11,Paycom Center,
8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,Box Score,OT,"18,354",2:26,AT&T Center,
8:30p,Houston Rockets,106,Dallas Mavericks,116,Box Score,,"19,337",2:11,American Airlines Center,
10:00p,Denver Nuggets,110,Utah Jazz,122,Box Score,,"18,306",2:28,Vivint Smart Home Arena,
7:00p,Charlotte Hornets,120,Orlando Magic,111,Box Score,,"14,082",2:11,Amway Center,
7:30p,Washington Wizards,116,Boston Celtics,107,Box Score,,"19,156",2:18,TD Garden,
7:30p,Miami Heat,106,Brooklyn Nets,93,Box Score,,"17,732",2:13,Barclays Center,
7:30p,Indiana Pacers,100,Toronto Raptors,118,Box Score,,"19,800",2:14,Scotiabank Arena,
7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,Box Score,,"15,541",2:16,Smoothie King Center,
8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,Box Score,,"17,341",2:14,Fiserv Forum,
8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,Box Score,,"15,783",2:25,Paycom Center,
10:00p,Sacramento Kings,110,Phoenix Suns,107,Box Score,,"14,678",2:09,Phoenix Suns Arena,
10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,Box Score,,"16,241",2:19,Moda Center,
10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,Box Score,,"13,276",2:05,Crypto.com Arena,
7:00p,Atlanta Hawks,111,Washington Wizards,122,Box Score,,"13,653",2:16,Capital One Arena,
7:00p,Detroit Pistons,102,Philadelphia 76ers,110,Box Score,,"20,017",2:22,Wells Fargo Center,
8:00p,Utah Jazz,122,Houston Rockets,91,Box Score,,"15,858",2:14,Toyota Center,
8:00p,New York Knicks,104,Chicago Bulls,103,Box Score,,"20,972",2:20,United Center,
8:30p,San Antonio Spurs,99,Dallas Mavericks,104,Box Score,,"19,228",2:07,American Airlines Center,
10:00p,Memphis Grizzlies,104,Golden State Warriors,101,Box Score,OT,"18,064",2:23,Chase Center,
7:00p,Orlando Magic,109,Toronto Raptors,110,Box Score,,"19,800",2:16,Scotiabank Arena,
7:30p,Charlotte Hornets,99,Miami Heat,114,Box Score,,"19,600",2:18,FTX Arena,
7:30p,Indiana Pacers,98,Brooklyn Nets,105,Box Score,,"16,139",2:25,Barclays Center,
8:00p,Sacramento Kings,113,New Orleans Pelicans,109,Box Score,,"17,507",2:16,Smoothie King Center,
10:00p,Dallas Mavericks,75,Denver Nuggets,106,Box Score,,"18,315",2:17,Ball Arena,
10:00p,Los Angeles Clippers,92,Portland Trail Blazers,111,Box Score,,"16,510",2:07,Moda Center,
10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113,Box Score,,"18,997",2:09,Crypto.com Arena,
5:00p,Boston Celtics,112,Washington Wizards,115,Box Score,2OT,"15,813",2:58,Capital One Arena,
7:00p,Orlando Magic,103,Detroit Pistons,110,Box Score,,"11,423",2:12,Little Caesars Arena,
7:00p,New York Knicks,123,New Orleans Pelicans,117,Box Score,,"16,508",2:16,Smoothie King Center,
7:30p,Toronto Raptors,97,Indiana Pacers,94,Box Score,,"10,578",2:07,Gainbridge Fieldhouse,
7:30p,Atlanta Hawks,94,Philadelphia 76ers,122,Box Score,,"20,031",2:10,Wells Fargo Center,
8:00p,Utah Jazz,99,Chicago Bulls,107,Box Score,,"20,668",2:17,United Center,
8:00p,Miami Heat,129,Memphis Grizzlies,103,Box Score,,"15,989",2:10,FedEx Forum,
8:00p,San Antonio Spurs,102,Milwaukee Bucks,93,Box Score,,"17,341",2:11,Fiserv Forum,
8:30p,Oklahoma City Thunder,82,Golden State Warriors,103,Box Score,,"18,064",2:02,Chase Center,
9:00p,Denver Nuggets,93,Minnesota Timberwolves,91,Box Score,,"17,136",2:02,Target Center,
10:00p,Cleveland Cavaliers,92,Phoenix Suns,101,Box Score,,"14,516",2:06,Phoenix Suns Arena,
3:30p,Sacramento Kings,99,Dallas Mavericks,105,Box Score,,"19,231",2:07,American Airlines Center,
7:00p,Portland Trail Blazers,113,Charlotte Hornets,125,Box Score,,"14,960",2:03,Spectrum Center,
7:00p,Utah Jazz,107,Milwaukee Bucks,95,Box Score,,"17,341",2:10,Fiserv Forum,
7:30p,Detroit Pistons,91,Brooklyn Nets,117,Box Score,,"13,507",2:05,Barclays Center,
10:30p,Houston Rockets,85,Los Angeles Lakers,95,Box Score,,"16,448",2:13,Crypto.com Arena,
7:30p,Philadelphia 76ers,117,Boston Celtics,126,Box Score,,"19,156",2:31,TD Garden,
10:00p,Los Angeles Lakers,109,Golden State Warriors,123,Box Score,,"18,064",2:33,Chase Center,
7:00p,Orlando Magic,109,Detroit Pistons,113,Box Score,,"20,190",2:16,Little Caesars Arena,
7:00p,Washington Wizards,114,Indiana Pacers,107,Box Score,,"15,027",2:22,Gainbridge Fieldhouse,
7:30p,Houston Rockets,107,Atlanta Hawks,117,Box Score,,"17,878",2:05,State Farm Arena,
7:30p,New Orleans Pelicans,130,Brooklyn Nets,108,Box Score,,"18,003",2:14,Barclays Center,
7:30p,New York Knicks,112,Memphis Grizzlies,115,Box Score,OT,"18,202",2:36,FedEx Forum,
7:30p,Chicago Bulls,116,Miami Heat,108,Box Score,,"19,600",2:20,Kaseya Center,
7:30p,Cleveland Cavaliers,105,Toronto Raptors,108,Box Score,,"19,800",2:19,Scotiabank Arena,
8:00p,Oklahoma City Thunder,108,Minnesota Timberwolves,115,Box Score,,"17,136",2:21,Target Center,
8:00p,Charlotte Hornets,129,San Antonio Spurs,102,Box Score,,"16,236",2:07,AT&T Center,
9:00p,Denver Nuggets,102,Utah Jazz,123,Box Score,,"18,206",2:15,Vivint Arena,
10:00p,Dallas Mavericks,105,Phoenix Suns,107,Box Score,,"17,071",2:26,Footprint Center,
10:00p,Portland Trail Blazers,115,Sacramento Kings,108,Box Score,,"17,611",2:24,Golden 1 Center,
7:30p,Milwaukee Bucks,90,Philadelphia 76ers,88,Box Score,,"20,060",2:19,Wells Fargo Center,
10:00p,Los Angeles Clippers,103,Los Angeles Lakers,97,Box Score,,"18,997",2:30,Crypto.com Arena,
7:00p,New Orleans Pelicans,124,Charlotte Hornets,112,Box Score,,"19,287",2:15,Spectrum Center,
7:00p,San Antonio Spurs,137,Indiana Pacers,134,Box Score,,"12,073",2:30,Gainbridge Fieldhouse,
7:00p,Chicago Bulls,100,Washington Wizards,102,Box Score,,"20,476",2:15,Capital One Arena,
7:30p,Orlando Magic,98,Atlanta Hawks,108,Box Score,,"17,822",2:12,State Farm Arena,
7:30p,Toronto Raptors,105,Brooklyn Nets,109,Box Score,,"17,732",2:15,Barclays Center,
7:30p,Boston Celtics,111,Miami Heat,104,Box Score,,"19,600",2:10,Kaseya Center,
7:30p,Detroit Pistons,106,New York Knicks,130,Box Score,,"19,812",2:12,Madison Square Garden (IV),
8:00p,Memphis Grizzlies,129,Houston Rockets,122,Box Score,,"18,055",2:19,Toyota Center,
8:00p,Utah Jazz,132,Minnesota Timberwolves,126,Box Score,OT,"17,136",2:37,Target Center,
10:00p,Denver Nuggets,128,Golden State Warriors,123,Box Score,,"18,064",2:31,Chase Center,
10:00p,Phoenix Suns,111,Portland Trail Blazers,113,Box Score,OT,"19,393",2:35,Moda Center,
6:00p,San Antonio Spurs,114,Philadelphia 76ers,105,Box Score,,"19,822",2:15,Wells Fargo Center,
7:00p,Detroit Pistons,115,Indiana Pacers,124,Box Score,,"16,056",2:26,Gainbridge Fieldhouse,
7:00p,Boston Celtics,126,Orlando Magic,120,Box Score,,"19,299",2:24,Amway Center,
8:00p,Cleveland Cavaliers,128,Chicago Bulls,96,Box Score,,"21,089",2:11,United Center,
8:00p,Toronto Raptors,109,Miami Heat,112,Box Score,,"19,600",2:29,Kaseya Center,
8:00p,Houston Rockets,105,Milwaukee Bucks,125,Box Score,,"17,341",2:11,Fiserv Forum,
8:30p,Memphis Grizzlies,96,Dallas Mavericks,137,Box Score,,"20,377",2:18,American Airlines Center,
9:00p,Oklahoma City Thunder,117,Denver Nuggets,122,Box Score,,"19,983",2:19,Ball Arena,
10:00p,Los Angeles Clippers,111,Sacramento Kings,109,Box Score,,"16,296",2:27,Golden 1 Center,
3:30p,Portland Trail Blazers,106,Los Angeles Lakers,104,Box Score,,"18,997",2:28,Crypto.com Arena,
5:00p,Charlotte Hornets,126,Atlanta Hawks,109,Box Score,,"17,383",2:20,State Farm Arena,
7:00p,Washington Wizards,107,Cleveland Cavaliers,117,Box Score,OT,"19,432",2:34,Rocket Mortgage Fieldhouse,
7:00p,Utah Jazz,122,New Orleans Pelicans,121,Box Score,OT,"18,665",2:31,Smoothie King Center,
8:00p,Minnesota Timberwolves,116,Oklahoma City Thunder,106,Box Score,,"15,044",2:09,Paycom Center,
8:30p,Sacramento Kings,125,Golden State Warriors,130,Box Score,,"18,064",2:24,Chase Center,
10:00p,Phoenix Suns,112,Los Angeles Clippers,95,Box Score,,"19,068",2:06,Crypto.com Arena,
7:00p,Indiana Pacers,106,Philadelphia 76ers,120,Box Score,,"19,786",2:16,Wells Fargo Center,
7:30p,Toronto Raptors,98,Miami Heat,90,Box Score,,"19,600",2:13,Kaseya Center,
7:30p,Orlando Magic,102,New York Knicks,115,Box Score,,"18,800",2:13,Madison Square Garden (IV),
8:00p,Boston Celtics,102,Chicago Bulls,120,Box Score,,"17,673",2:08,United Center,
8:00p,Utah Jazz,108,Houston Rockets,114,Box Score,,"16,260",2:14,Toyota Center,
8:00p,Brooklyn Nets,124,Memphis Grizzlies,134,Box Score,,"17,392",2:19,FedEx Forum,
8:00p,San Antonio Spurs,115,Minnesota Timberwolves,106,Box Score,,"15,347",2:11,Target Center,
10:00p,Denver Nuggets,110,Portland Trail Blazers,135,Box Score,,"18,111",2:11,Moda Center,
7:00p,Detroit Pistons,99,Washington Wizards,120,Box Score,,"13,196",2:13,Capital One Arena,
7:30p,Dallas Mavericks,111,New Orleans Pelicans,113,Box Score,,"14,020",2:17,Smoothie King Center,
8:00p,Los Angeles Clippers,94,Oklahoma City Thunder,108,Box Score,,"13,105",2:05,Paycom Center,
10:00p,Golden State Warriors,105,Phoenix Suns,134,Box Score,,"17,071",2:23,Footprint Center,
7:00p,Orlando Magic,92,Cleveland Cavaliers,103,Box Score,,0,2:26,Rocket Mortgage Fieldhouse,
7:00p,Atlanta Hawks,118,Detroit Pistons,113,Box Score,,"17,987",2:19,Little Caesars Arena,
7:30p,Brooklyn Nets,99,Milwaukee Bucks,110,Box Score,,"17,341",2:31,Fiserv Forum,
7:30p,Charlotte Hornets,131,New York Knicks,134,Box Score,OT,"19,812",2:45,Madison Square Garden (IV),
7:30p,Philadelphia 76ers,109,Toronto Raptors,119,Box Score,,"19,800",2:02,Scotiabank Arena,
8:00p,Indiana Pacers,109,Chicago Bulls,124,Box Score,,"18,306",2:26,United Center,
8:00p,San Antonio Spurs,122,Minnesota Timberwolves,134,Box Score,,"16,165",2:05,Target Center,
9:00p,Houston Rockets,101,Utah Jazz,109,Box Score,,"18,206",2:20,Vivint Arena,
10:00p,Los Angeles Lakers,99,Denver Nuggets,110,Box Score,,"19,520",2:12,Ball Arena,
