Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Wed, Apr 12, 2017",10:30p,Sacramento Kings,95,Los Angeles Clippers,115,Box Score,,"19,060",2:03,STAPLES Center,
"Wed, Apr 12, 2017",10:30p,New Orleans Pelicans,103,Portland Trail Blazers,100,Box Score,,"19,521",2:17,Moda Center,
"Sat, Apr 15, 2017",3:00p,Indiana Pacers,108,Cleveland Cavaliers,109,Box Score,,"20,562",2:26,Quicken Loans Arena,
"Sat, Apr 15, 2017",5:30p,Milwaukee Bucks,97,Toronto Raptors,83,Box Score,,"20,133",2:20,Air Canada Centre,
"Sat, Apr 15, 2017",8:00p,Memphis Grizzlies,82,San Antonio Spurs,111,Box Score,,"18,418",2:25,AT&T Center,
"Sat, Apr 15, 2017",10:30p,Utah Jazz,97,Los Angeles Clippers,95,Box Score,,"19,060",2:23,STAPLES Center,
"Sun, Apr 16, 2017",1:00p,Atlanta Hawks,107,Washington Wizards,114,Box Score,,"20,356",2:34,Verizon Center,
"Sun, Apr 16, 2017",3:30p,Portland Trail Blazers,109,Golden State Warriors,121,Box Score,,"19,596",2:24,Oracle Arena,
"Sun, Apr 16, 2017",6:30p,Chicago Bulls,106,Boston Celtics,102,Box Score,,"18,624",2:34,TD Garden,
"Sun, Apr 16, 2017",9:00p,Oklahoma City Thunder,87,Houston Rockets,118,Box Score,,"18,055",2:19,Toyota Center,
"Mon, Apr 17, 2017",7:00p,Indiana Pacers,111,Cleveland Cavaliers,117,Box Score,,"20,562",2:35,Quicken Loans Arena,
"Mon, Apr 17, 2017",9:30p,Memphis Grizzlies,82,San Antonio Spurs,96,Box Score,,"18,418",2:25,AT&T Center,
"Tue, Apr 18, 2017",7:00p,Milwaukee Bucks,100,Toronto Raptors,106,Box Score,,"20,077",2:24,Air Canada Centre,
"Tue, Apr 18, 2017",8:00p,Chicago Bulls,111,Boston Celtics,97,Box Score,,"18,624",2:14,TD Garden,
"Tue, Apr 18, 2017",10:30p,Utah Jazz,91,Los Angeles Clippers,99,Box Score,,"19,060",2:24,STAPLES Center,
"Wed, Apr 19, 2017",7:00p,Atlanta Hawks,101,Washington Wizards,109,Box Score,,"20,356",2:45,Verizon Center,
"Wed, Apr 19, 2017",8:00p,Oklahoma City Thunder,111,Houston Rockets,115,Box Score,,"18,055",2:33,Toyota Center,
"Wed, Apr 19, 2017",10:30p,Portland Trail Blazers,81,Golden State Warriors,110,Box Score,,"19,596",2:28,Oracle Arena,
"Thu, Apr 20, 2017",7:00p,Cleveland Cavaliers,119,Indiana Pacers,114,Box Score,,"17,923",2:39,Bankers Life Fieldhouse,
"Thu, Apr 20, 2017",8:00p,Toronto Raptors,77,Milwaukee Bucks,104,Box Score,,"18,717",2:29,BMO Harris Bradley Center,
"Thu, Apr 20, 2017",9:30p,San Antonio Spurs,94,Memphis Grizzlies,105,Box Score,,"18,119",2:25,FedEx Forum,
"Fri, Apr 21, 2017",7:00p,Boston Celtics,104,Chicago Bulls,87,Box Score,,"21,293",2:11,United Center,
"Fri, Apr 21, 2017",9:30p,Houston Rockets,113,Oklahoma City Thunder,115,Box Score,,"18,203",2:27,Chesapeake Energy Arena,
"Fri, Apr 21, 2017",10:00p,Los Angeles Clippers,111,Utah Jazz,106,Box Score,,"19,911",2:35,Vivint Smart Home Arena,
"Sat, Apr 22, 2017",3:00p,Toronto Raptors,87,Milwaukee Bucks,76,Box Score,,"18,717",2:17,BMO Harris Bradley Center,
"Sat, Apr 22, 2017",5:30p,Washington Wizards,98,Atlanta Hawks,116,Box Score,,"18,866",2:24,Philips Arena,
"Sat, Apr 22, 2017",8:00p,San Antonio Spurs,108,Memphis Grizzlies,110,Box Score,OT,"18,119",2:51,FedEx Forum,
"Sat, Apr 22, 2017",10:30p,Golden State Warriors,119,Portland Trail Blazers,113,Box Score,,"20,177",2:33,Moda Center,
"Sun, Apr 23, 2017",1:00p,Cleveland Cavaliers,106,Indiana Pacers,102,Box Score,,"17,923",2:27,Bankers Life Fieldhouse,
"Sun, Apr 23, 2017",3:30p,Houston Rockets,113,Oklahoma City Thunder,109,Box Score,,"18,203",2:30,Chesapeake Energy Arena,
"Sun, Apr 23, 2017",6:30p,Boston Celtics,104,Chicago Bulls,95,Box Score,,"21,863",2:29,United Center,
"Sun, Apr 23, 2017",9:00p,Los Angeles Clippers,98,Utah Jazz,105,Box Score,,"19,911",2:22,Vivint Smart Home Arena,
"Mon, Apr 24, 2017",7:00p,Milwaukee Bucks,93,Toronto Raptors,118,Box Score,,"20,251",2:25,Air Canada Centre,
"Mon, Apr 24, 2017",8:00p,Washington Wizards,101,Atlanta Hawks,111,Box Score,,"18,676",2:30,Philips Arena,
"Mon, Apr 24, 2017",10:30p,Golden State Warriors,128,Portland Trail Blazers,103,Box Score,,"19,902",2:19,Moda Center,
"Tue, Apr 25, 2017",8:00p,Oklahoma City Thunder,99,Houston Rockets,105,Box Score,,"18,055",2:42,Toyota Center,
"Tue, Apr 25, 2017",9:00p,Memphis Grizzlies,103,San Antonio Spurs,116,Box Score,,"18,418",2:23,AT&T Center,
"Tue, Apr 25, 2017",10:30p,Utah Jazz,96,Los Angeles Clippers,92,Box Score,,"19,171",2:35,STAPLES Center,
"Wed, Apr 26, 2017",6:00p,Atlanta Hawks,99,Washington Wizards,103,Box Score,,"20,356",2:28,Verizon Center,
"Wed, Apr 26, 2017",8:30p,Chicago Bulls,97,Boston Celtics,108,Box Score,,"18,624",2:20,TD Garden,
"Thu, Apr 27, 2017",7:00p,Toronto Raptors,92,Milwaukee Bucks,89,Box Score,,"18,717",2:42,BMO Harris Bradley Center,
"Thu, Apr 27, 2017",9:30p,San Antonio Spurs,103,Memphis Grizzlies,96,Box Score,,"18,119",2:33,FedEx Forum,
"Fri, Apr 28, 2017",7:30p,Washington Wizards,115,Atlanta Hawks,99,Box Score,,"18,849",2:25,Philips Arena,
"Fri, Apr 28, 2017",8:00p,Boston Celtics,105,Chicago Bulls,83,Box Score,,"21,682",2:13,United Center,
"Fri, Apr 28, 2017",10:30p,Los Angeles Clippers,98,Utah Jazz,93,Box Score,,"19,911",2:41,Vivint Smart Home Arena,
"Sun, Apr 30, 2017",1:00p,Washington Wizards,111,Boston Celtics,123,Box Score,,"18,624",2:24,TD Garden,
"Sun, Apr 30, 2017",3:30p,Utah Jazz,104,Los Angeles Clippers,91,Box Score,,"19,060",2:28,STAPLES Center,
"Mon, May 1, 2017",7:00p,Toronto Raptors,105,Cleveland Cavaliers,116,Box Score,,"20,562",2:24,Quicken Loans Arena,
"Mon, May 1, 2017",9:30p,Houston Rockets,126,San Antonio Spurs,99,Box Score,,"18,418",2:27,AT&T Center,
"Tue, May 2, 2017",8:00p,Washington Wizards,119,Boston Celtics,129,Box Score,OT,"18,624",2:58,TD Garden,
"Tue, May 2, 2017",10:30p,Utah Jazz,94,Golden State Warriors,106,Box Score,,"19,596",2:15,Oracle Arena,
"Wed, May 3, 2017",7:00p,Toronto Raptors,103,Cleveland Cavaliers,125,Box Score,,"20,562",2:33,Quicken Loans Arena,
"Wed, May 3, 2017",9:30p,Houston Rockets,96,San Antonio Spurs,121,Box Score,,"18,418",2:19,AT&T Center,
"Thu, May 4, 2017",8:00p,Boston Celtics,89,Washington Wizards,116,Box Score,,"20,356",2:34,Verizon Center,
"Thu, May 4, 2017",10:30p,Utah Jazz,104,Golden State Warriors,115,Box Score,,"19,596",2:22,Oracle Arena,
"Fri, May 5, 2017",7:00p,Cleveland Cavaliers,115,Toronto Raptors,94,Box Score,,"20,384",2:30,Air Canada Centre,
"Fri, May 5, 2017",9:30p,San Antonio Spurs,103,Houston Rockets,92,Box Score,,"18,187",2:20,Toyota Center,
"Sat, May 6, 2017",8:30p,Golden State Warriors,102,Utah Jazz,91,Box Score,,"19,911",2:32,Vivint Smart Home Arena,
"Sun, May 7, 2017",3:30p,Cleveland Cavaliers,109,Toronto Raptors,102,Box Score,,"20,307",2:31,Air Canada Centre,
"Sun, May 7, 2017",6:30p,Boston Celtics,102,Washington Wizards,121,Box Score,,"20,356",2:24,Verizon Center,
"Sun, May 7, 2017",9:00p,San Antonio Spurs,104,Houston Rockets,125,Box Score,,"18,055",2:11,Toyota Center,
"Mon, May 8, 2017",9:00p,Golden State Warriors,121,Utah Jazz,95,Box Score,,"19,911",2:26,Vivint Smart Home Arena,
"Tue, May 9, 2017",8:00p,Houston Rockets,107,San Antonio Spurs,110,Box Score,OT,"18,418",2:48,AT&T Center,
"Wed, May 10, 2017",8:00p,Washington Wizards,101,Boston Celtics,123,Box Score,,"18,624",2:23,TD Garden,
"Thu, May 11, 2017",8:00p,San Antonio Spurs,114,Houston Rockets,75,Box Score,,"18,055",2:12,Toyota Center,
"Fri, May 12, 2017",8:00p,Boston Celtics,91,Washington Wizards,92,Box Score,,"20,356",2:34,Verizon Center,
"Sun, May 14, 2017",3:30p,San Antonio Spurs,111,Golden State Warriors,113,Box Score,,"19,596",2:33,Oracle Arena,
"Mon, May 15, 2017",8:00p,Washington Wizards,105,Boston Celtics,115,Box Score,,"18,624",2:26,TD Garden,
"Tue, May 16, 2017",9:00p,San Antonio Spurs,100,Golden State Warriors,136,Box Score,,"19,596",2:17,Oracle Arena,
"Wed, May 17, 2017",8:30p,Cleveland Cavaliers,117,Boston Celtics,104,Box Score,,"18,624",2:28,TD Garden,
"Fri, May 19, 2017",8:30p,Cleveland Cavaliers,130,Boston Celtics,86,Box Score,,"18,624",2:16,TD Garden,
"Sat, May 20, 2017",9:00p,Golden State Warriors,120,San Antonio Spurs,108,Box Score,,"18,792",2:21,AT&T Center,
"Sun, May 21, 2017",8:30p,Boston Celtics,111,Cleveland Cavaliers,108,Box Score,,"20,562",2:28,Quicken Loans Arena,
"Mon, May 22, 2017",9:00p,Golden State Warriors,129,San Antonio Spurs,115,Box Score,,"18,466",2:21,AT&T Center,
"Tue, May 23, 2017",8:30p,Boston Celtics,99,Cleveland Cavaliers,112,Box Score,,"20,562",2:19,Quicken Loans Arena,
"Thu, May 25, 2017",8:30p,Cleveland Cavaliers,135,Boston Celtics,102,Box Score,,"18,624",2:21,TD Garden,
"Thu, Jun 1, 2017",9:00p,Cleveland Cavaliers,91,Golden State Warriors,113,Box Score,,"19,596",2:21,Oracle Arena,
"Sun, Jun 4, 2017",8:00p,Cleveland Cavaliers,113,Golden State Warriors,132,Box Score,,"19,596",2:25,Oracle Arena,
"Wed, Jun 7, 2017",9:00p,Golden State Warriors,118,Cleveland Cavaliers,113,Box Score,,"20,562",2:36,Quicken Loans Arena,
"Fri, Jun 9, 2017",9:00p,Golden State Warriors,116,Cleveland Cavaliers,137,Box Score,,"20,562",2:51,Quicken Loans Arena,
"Mon, Jun 12, 2017",9:00p,Cleveland Cavaliers,120,Golden State Warriors,129,Box Score,,"19,596",2:34,Oracle Arena,
"Tue, Oct 17, 2017",8:01p,Boston Celtics,99,Cleveland Cavaliers,102,Box Score,,"20,562",2:28,Quicken Loans Arena,
"Tue, Oct 17, 2017",10:30p,Houston Rockets,122,Golden State Warriors,121,Box Score,,"19,596",2:28,Oracle Arena,
"Wed, Oct 18, 2017",7:00p,Charlotte Hornets,90,Detroit Pistons,102,Box Score,,"20,491",2:04,Little Caesars Arena,
"Wed, Oct 18, 2017",7:00p,Brooklyn Nets,131,Indiana Pacers,140,Box Score,,"15,008",2:19,Bankers Life Fieldhouse,
"Wed, Oct 18, 2017",7:00p,Miami Heat,109,Orlando Magic,116,Box Score,,"18,846",2:15,Amway Center,
"Wed, Oct 18, 2017",7:00p,Philadelphia 76ers,115,Washington Wizards,120,Box Score,,"20,356",2:25,Capital One Arena,
"Wed, Oct 18, 2017",7:30p,Milwaukee Bucks,108,Boston Celtics,100,Box Score,,"18,624",2:15,TD Garden,
"Wed, Oct 18, 2017",8:00p,New Orleans Pelicans,91,Memphis Grizzlies,103,Box Score,,"17,794",2:22,FedEx Forum,
"Wed, Oct 18, 2017",8:30p,Atlanta Hawks,117,Dallas Mavericks,111,Box Score,,"19,709",2:15,American Airlines Center,
"Wed, Oct 18, 2017",9:00p,Denver Nuggets,96,Utah Jazz,106,Box Score,,"17,588",2:08,Vivint Smart Home Arena,
"Wed, Oct 18, 2017",9:30p,Minnesota Timberwolves,99,San Antonio Spurs,107,Box Score,,"18,418",2:14,AT&T Center,
"Wed, Oct 18, 2017",10:00p,Portland Trail Blazers,124,Phoenix Suns,76,Box Score,,"18,055",2:07,Talking Stick Resort Arena,
"Wed, Oct 18, 2017",10:00p,Houston Rockets,105,Sacramento Kings,100,Box Score,,"17,583",2:10,Golden 1 Center,
"Thu, Oct 19, 2017",7:30p,Chicago Bulls,100,Toronto Raptors,117,Box Score,,"19,800",2:04,Air Canada Centre,
"Thu, Oct 19, 2017",8:00p,New York Knicks,84,Oklahoma City Thunder,105,Box Score,,"18,203",2:20,Chesapeake Energy Arena,
"Thu, Oct 19, 2017",10:30p,Los Angeles Clippers,108,Los Angeles Lakers,92,Box Score,,"18,997",2:16,STAPLES Center,
"Fri, Oct 20, 2017",7:00p,Atlanta Hawks,91,Charlotte Hornets,109,Box Score,,"18,417",2:11,Spectrum Center,
"Fri, Oct 20, 2017",7:00p,Portland Trail Blazers,114,Indiana Pacers,96,Box Score,,"15,325",2:06,Bankers Life Fieldhouse,
"Fri, Oct 20, 2017",7:00p,Cleveland Cavaliers,116,Milwaukee Bucks,97,Box Score,,"18,717",2:08,BMO Harris Bradley Center,
"Fri, Oct 20, 2017",7:00p,Boston Celtics,102,Philadelphia 76ers,92,Box Score,,"20,816",2:17,Wells Fargo Center,
"Fri, Oct 20, 2017",7:00p,Detroit Pistons,111,Washington Wizards,115,Box Score,,"16,337",2:38,Capital One Arena,
"Fri, Oct 20, 2017",7:30p,Orlando Magic,121,Brooklyn Nets,126,Box Score,,"16,144",2:13,Barclays Center,
"Fri, Oct 20, 2017",8:00p,Utah Jazz,97,Minnesota Timberwolves,100,Box Score,,"18,978",2:23,Target Center,
"Fri, Oct 20, 2017",8:30p,Sacramento Kings,93,Dallas Mavericks,88,Box Score,,"19,273",2:06,American Airlines Center,
"Fri, Oct 20, 2017",9:30p,Golden State Warriors,128,New Orleans Pelicans,120,Box Score,,"18,171",,Smoothie King Center,
"Fri, Oct 20, 2017",10:00p,Los Angeles Lakers,132,Phoenix Suns,130,Box Score,,"18,055",2:32,Talking Stick Resort Arena,
"Sat, Oct 21, 2017",7:30p,Philadelphia 76ers,94,Toronto Raptors,128,Box Score,,"19,800",2:18,Air Canada Centre,
"Sat, Oct 21, 2017",8:00p,San Antonio Spurs,87,Chicago Bulls,77,Box Score,,"21,640",1:59,United Center,
"Sat, Oct 21, 2017",8:00p,Orlando Magic,114,Cleveland Cavaliers,93,Box Score,,"20,562",2:07,Quicken Loans Arena,
"Sat, Oct 21, 2017",8:00p,Dallas Mavericks,91,Houston Rockets,107,Box Score,,"18,055",2:07,Toyota Center,
"Sat, Oct 21, 2017",8:00p,Golden State Warriors,101,Memphis Grizzlies,111,Box Score,,"17,794",2:19,FedEx Forum,
"Sat, Oct 21, 2017",8:00p,Indiana Pacers,108,Miami Heat,112,Box Score,,"19,600",2:08,AmericanAirlines Arena,
"Sat, Oct 21, 2017",8:00p,Detroit Pistons,111,New York Knicks,107,Box Score,,"19,812",2:14,Madison Square Garden (IV),
"Sat, Oct 21, 2017",8:30p,Portland Trail Blazers,110,Milwaukee Bucks,113,Box Score,,"16,211",2:22,BMO Harris Bradley Center,
"Sat, Oct 21, 2017",9:00p,Sacramento Kings,79,Denver Nuggets,96,Box Score,,"19,520",2:27,Pepsi Center,
"Sat, Oct 21, 2017",9:00p,Oklahoma City Thunder,87,Utah Jazz,96,Box Score,,"18,300",2:06,Vivint Smart Home Arena,
"Sat, Oct 21, 2017",10:30p,Phoenix Suns,88,Los Angeles Clippers,130,Box Score,,"19,068",2:14,STAPLES Center,
"Sun, Oct 22, 2017",3:30p,Atlanta Hawks,104,Brooklyn Nets,116,Box Score,,"13,917",2:24,Barclays Center,
"Sun, Oct 22, 2017",7:00p,Minnesota Timberwolves,115,Oklahoma City Thunder,113,Box Score,,"18,203",2:15,Chesapeake Energy Arena,
"Sun, Oct 22, 2017",9:30p,New Orleans Pelicans,119,Los Angeles Lakers,112,Box Score,,"18,997",2:12,STAPLES Center,
"Mon, Oct 23, 2017",7:00p,Philadelphia 76ers,97,Detroit Pistons,86,Box Score,,"13,709",2:14,Little Caesars Arena,
"Mon, Oct 23, 2017",7:30p,Atlanta Hawks,93,Miami Heat,104,Box Score,,"19,600",2:13,AmericanAirlines Arena,
"Mon, Oct 23, 2017",8:00p,Memphis Grizzlies,98,Houston Rockets,90,Box Score,,"17,129",2:23,Toyota Center,
"Mon, Oct 23, 2017",8:00p,Charlotte Hornets,94,Milwaukee Bucks,103,Box Score,,"12,887",2:09,BMO Harris Bradley Center,
"Mon, Oct 23, 2017",8:30p,Golden State Warriors,133,Dallas Mavericks,103,Box Score,,"19,875",2:13,American Airlines Center,
"Mon, Oct 23, 2017",8:30p,Toronto Raptors,97,San Antonio Spurs,101,Box Score,,"18,418",2:22,AT&T Center,
"Mon, Oct 23, 2017",9:00p,Washington Wizards,109,Denver Nuggets,104,Box Score,,"14,294",2:18,Pepsi Center,
"Mon, Oct 23, 2017",10:00p,Sacramento Kings,115,Phoenix Suns,117,Box Score,,"14,903",2:18,Talking Stick Resort Arena,
"Tue, Oct 24, 2017",7:00p,Chicago Bulls,112,Cleveland Cavaliers,119,Box Score,,"20,562",2:04,Quicken Loans Arena,
"Tue, Oct 24, 2017",7:00p,Brooklyn Nets,121,Orlando Magic,125,Box Score,,"16,015",3:07,Amway Center,
"Tue, Oct 24, 2017",7:30p,New York Knicks,89,Boston Celtics,110,Box Score,,"18,624",2:06,TD Garden,
"Tue, Oct 24, 2017",8:00p,Indiana Pacers,130,Minnesota Timberwolves,107,Box Score,,"14,353",2:06,Target Center,
"Tue, Oct 24, 2017",10:00p,New Orleans Pelicans,93,Portland Trail Blazers,103,Box Score,,"19,446",2:15,Moda Center,
"Tue, Oct 24, 2017",10:30p,Utah Jazz,84,Los Angeles Clippers,102,Box Score,,"16,607",2:02,STAPLES Center,
"Wed, Oct 25, 2017",7:00p,Denver Nuggets,93,Charlotte Hornets,110,Box Score,,"14,253",2:09,Spectrum Center,
"Wed, Oct 25, 2017",7:00p,Minnesota Timberwolves,101,Detroit Pistons,122,Box Score,,"13,790",2:05,Little Caesars Arena,
"Wed, Oct 25, 2017",7:00p,Houston Rockets,105,Philadelphia 76ers,104,Box Score,,"20,682",2:09,Wells Fargo Center,
"Wed, Oct 25, 2017",7:30p,Cleveland Cavaliers,107,Brooklyn Nets,112,Box Score,,"17,732",2:27,Barclays Center,
"Wed, Oct 25, 2017",8:00p,San Antonio Spurs,117,Miami Heat,100,Box Score,,"19,600",2:16,AmericanAirlines Arena,
"Wed, Oct 25, 2017",8:00p,Indiana Pacers,96,Oklahoma City Thunder,114,Box Score,,"18,203",2:18,Chesapeake Energy Arena,
"Wed, Oct 25, 2017",8:30p,Memphis Grizzlies,94,Dallas Mavericks,103,Box Score,,"19,674",2:15,American Airlines Center,
"Wed, Oct 25, 2017",10:00p,Utah Jazz,88,Phoenix Suns,97,Box Score,,"16,022",2:09,Talking Stick Resort Arena,
"Wed, Oct 25, 2017",10:30p,Toronto Raptors,112,Golden State Warriors,117,Box Score,,"19,596",2:14,Oracle Arena,
"Wed, Oct 25, 2017",10:30p,Washington Wizards,99,Los Angeles Lakers,102,Box Score,OT,"18,996",2:38,STAPLES Center,
"Thu, Oct 26, 2017",8:00p,Atlanta Hawks,86,Chicago Bulls,91,Box Score,,"21,104",2:06,United Center,
"Thu, Oct 26, 2017",8:00p,Dallas Mavericks,91,Memphis Grizzlies,96,Box Score,,"15,839",2:16,FedEx Forum,
"Thu, Oct 26, 2017",8:00p,Boston Celtics,96,Milwaukee Bucks,89,Box Score,,"11,046",2:13,UWâMilwaukee Panther Arena,
"Thu, Oct 26, 2017",10:00p,Los Angeles Clippers,104,Portland Trail Blazers,103,Box Score,,"18,694",2:22,Moda Center,
"Thu, Oct 26, 2017",10:30p,New Orleans Pelicans,114,Sacramento Kings,106,Box Score,,"17,583",2:23,Golden 1 Center,
"Fri, Oct 27, 2017",7:00p,Houston Rockets,109,Charlotte Hornets,93,Box Score,,"17,339",2:10,Spectrum Center,
"Fri, Oct 27, 2017",7:00p,San Antonio Spurs,87,Orlando Magic,114,Box Score,,"17,337",2:03,Amway Center,
"Fri, Oct 27, 2017",7:30p,Denver Nuggets,105,Atlanta Hawks,100,Box Score,,"16,220",2:13,Philips Arena,
"Fri, Oct 27, 2017",7:30p,Brooklyn Nets,86,New York Knicks,107,Box Score,,"19,812",2:05,Madison Square Garden (IV),
"Fri, Oct 27, 2017",8:00p,Oklahoma City Thunder,116,Minnesota Timberwolves,119,Box Score,,"17,620",2:25,Target Center,
"Fri, Oct 27, 2017",10:30p,Washington Wizards,117,Golden State Warriors,120,Box Score,,"19,596",2:24,Oracle Arena,
"Fri, Oct 27, 2017",10:30p,Toronto Raptors,101,Los Angeles Lakers,92,Box Score,,"17,876",2:14,STAPLES Center,
"Sat, Oct 28, 2017",7:00p,Cleveland Cavaliers,101,New Orleans Pelicans,123,Box Score,,"18,539",2:09,Smoothie King Center,
"Sat, Oct 28, 2017",8:00p,Oklahoma City Thunder,101,Chicago Bulls,69,Box Score,,"21,706",1:56,United Center,
"Sat, Oct 28, 2017",8:00p,Houston Rockets,89,Memphis Grizzlies,103,Box Score,,"17,033",2:00,FedEx Forum,
"Sat, Oct 28, 2017",8:00p,Boston Celtics,96,Miami Heat,90,Box Score,,"19,600",2:12,AmericanAirlines Arena,
"Sat, Oct 28, 2017",8:30p,Philadelphia 76ers,112,Dallas Mavericks,110,Box Score,,"19,567",2:09,American Airlines Center,
"Sat, Oct 28, 2017",9:00p,Los Angeles Lakers,81,Utah Jazz,96,Box Score,,"18,306",2:12,Vivint Smart Home Arena,
"Sat, Oct 28, 2017",10:00p,Phoenix Suns,107,Portland Trail Blazers,114,Box Score,,"19,343",2:09,Moda Center,
"Sat, Oct 28, 2017",10:30p,Detroit Pistons,95,Los Angeles Clippers,87,Box Score,,"17,247",2:13,STAPLES Center,
"Sun, Oct 29, 2017",3:30p,Milwaukee Bucks,117,Atlanta Hawks,106,Box Score,,"14,014",2:08,Philips Arena,
"Sun, Oct 29, 2017",4:30p,San Antonio Spurs,94,Indiana Pacers,97,Box Score,,"15,013",2:13,Bankers Life Fieldhouse,
"Sun, Oct 29, 2017",6:00p,Denver Nuggets,124,Brooklyn Nets,111,Box Score,,"14,854",2:09,Barclays Center,
"Sun, Oct 29, 2017",6:00p,Orlando Magic,113,Charlotte Hornets,120,Box Score,,"15,531",2:11,Spectrum Center,
"Sun, Oct 29, 2017",6:00p,Washington Wizards,110,Sacramento Kings,83,Box Score,,"17,583",1:59,Golden 1 Center,
"Sun, Oct 29, 2017",7:00p,New York Knicks,114,Cleveland Cavaliers,95,Box Score,,"20,562",2:14,Quicken Loans Arena,
"Sun, Oct 29, 2017",8:30p,Detroit Pistons,115,Golden State Warriors,107,Box Score,,"19,596",2:09,Oracle Arena,
"Mon, Oct 30, 2017",7:30p,San Antonio Spurs,94,Boston Celtics,108,Box Score,,"18,624",2:07,TD Garden,
"Mon, Oct 30, 2017",7:30p,Minnesota Timberwolves,125,Miami Heat,122,Box Score,OT,"19,600",2:44,AmericanAirlines Arena,
"Mon, Oct 30, 2017",7:30p,Denver Nuggets,110,New York Knicks,116,Box Score,,"19,812",2:20,Madison Square Garden (IV),
"Mon, Oct 30, 2017",8:00p,Philadelphia 76ers,115,Houston Rockets,107,Box Score,,"16,714",2:21,Toyota Center,
"Mon, Oct 30, 2017",8:00p,Charlotte Hornets,104,Memphis Grizzlies,99,Box Score,,"15,771",2:14,FedEx Forum,
"Mon, Oct 30, 2017",8:00p,Orlando Magic,115,New Orleans Pelicans,99,Box Score,,"14,004",2:05,Smoothie King Center,
"Mon, Oct 30, 2017",9:00p,Dallas Mavericks,89,Utah Jazz,104,Box Score,,"16,221",2:04,Vivint Smart Home Arena,
"Mon, Oct 30, 2017",10:00p,Toronto Raptors,99,Portland Trail Blazers,85,Box Score,,"18,505",2:02,Moda Center,
"Mon, Oct 30, 2017",10:30p,Golden State Warriors,141,Los Angeles Clippers,113,Box Score,,"19,068",2:11,STAPLES Center,
"Tue, Oct 31, 2017",7:00p,Sacramento Kings,83,Indiana Pacers,101,Box Score,,"12,245",2:02,Bankers Life Fieldhouse,
"Tue, Oct 31, 2017",7:30p,Phoenix Suns,122,Brooklyn Nets,114,Box Score,,"12,936",2:18,Barclays Center,
"Tue, Oct 31, 2017",8:00p,Oklahoma City Thunder,110,Milwaukee Bucks,91,Box Score,,"16,713",2:09,BMO Harris Bradley Center,
"Tue, Oct 31, 2017",10:30p,Detroit Pistons,93,Los Angeles Lakers,113,Box Score,,"17,569",1:53,STAPLES Center,
"Wed, Nov 1, 2017",7:00p,Milwaukee Bucks,121,Charlotte Hornets,126,Box Score,,"15,655",2:12,Spectrum Center,
"Wed, Nov 1, 2017",7:00p,Indiana Pacers,124,Cleveland Cavaliers,107,Box Score,,"20,562",2:10,Quicken Loans Arena,
"Wed, Nov 1, 2017",7:00p,Atlanta Hawks,109,Philadelphia 76ers,119,Box Score,,"20,549",2:20,Wells Fargo Center,
"Wed, Nov 1, 2017",7:00p,Phoenix Suns,122,Washington Wizards,116,Box Score,,"14,790",2:16,Capital One Arena,
"Wed, Nov 1, 2017",7:30p,Sacramento Kings,86,Boston Celtics,113,Box Score,,"18,624",1:58,TD Garden,
"Wed, Nov 1, 2017",7:30p,Chicago Bulls,91,Miami Heat,97,Box Score,,"19,600",2:05,AmericanAirlines Arena,
"Wed, Nov 1, 2017",8:00p,Orlando Magic,101,Memphis Grizzlies,99,Box Score,,"15,434",2:14,FedEx Forum,
"Wed, Nov 1, 2017",8:00p,Minnesota Timberwolves,104,New Orleans Pelicans,98,Box Score,,"14,788",2:14,Smoothie King Center,
"Wed, Nov 1, 2017",8:00p,Houston Rockets,119,New York Knicks,97,Box Score,,"18,320",2:07,Madison Square Garden (IV),
"Wed, Nov 1, 2017",9:00p,Toronto Raptors,111,Denver Nuggets,129,Box Score,,"14,072",2:08,Pepsi Center,
"Wed, Nov 1, 2017",9:00p,Portland Trail Blazers,103,Utah Jazz,112,Box Score,OT,"16,685",2:34,Vivint Smart Home Arena,
"Wed, Nov 1, 2017",10:30p,Dallas Mavericks,98,Los Angeles Clippers,119,Box Score,,"13,487",2:15,STAPLES Center,
"Thu, Nov 2, 2017",8:00p,Golden State Warriors,112,San Antonio Spurs,92,Box Score,,"18,418",2:14,AT&T Center,
"Thu, Nov 2, 2017",10:30p,Los Angeles Lakers,110,Portland Trail Blazers,113,Box Score,,"19,469",2:23,Moda Center,
"Fri, Nov 3, 2017",7:00p,Milwaukee Bucks,96,Detroit Pistons,105,Box Score,,"17,207",2:15,Little Caesars Arena,
"Fri, Nov 3, 2017",7:00p,Chicago Bulls,105,Orlando Magic,83,Box Score,,"19,171",1:53,Amway Center,
"Fri, Nov 3, 2017",7:00p,Indiana Pacers,110,Philadelphia 76ers,121,Box Score,,"20,668",2:17,Wells Fargo Center,
"Fri, Nov 3, 2017",7:00p,Cleveland Cavaliers,130,Washington Wizards,122,Box Score,,"20,356",2:33,Capital One Arena,
"Fri, Nov 3, 2017",7:30p,Houston Rockets,119,Atlanta Hawks,104,Box Score,,"14,087",2:01,Philips Arena,
"Fri, Nov 3, 2017",7:30p,Phoenix Suns,107,New York Knicks,120,Box Score,,"19,404",2:15,Madison Square Garden (IV),
