Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Fri, Nov 6, 2009",8:00p,Toronto Raptors,107,New Orleans Hornets,90,Box Score,,"15,010",2:12,New Orleans Arena,
"Fri, Nov 6, 2009",8:00p,Cleveland Cavaliers,100,New York Knicks,91,Box Score,,"19,763",2:19,Madison Square Garden (IV),
"Fri, Nov 6, 2009",8:30p,Oklahoma City Thunder,94,Houston Rockets,105,Box Score,,"14,911",2:10,Toyota Center,
"Fri, Nov 6, 2009",10:30p,Los Angeles Clippers,118,Golden State Warriors,90,Box Score,,"18,788",2:34,Oracle Arena,
"Fri, Nov 6, 2009",10:30p,Memphis Grizzlies,98,Los Angeles Lakers,114,Box Score,,"18,997",2:15,STAPLES Center,
"Fri, Nov 6, 2009",10:30p,San Antonio Spurs,84,Portland Trail Blazers,96,Box Score,,"20,498",2:33,Rose Garden Arena,
"Sat, Nov 7, 2009",7:00p,Denver Nuggets,100,Atlanta Hawks,125,Box Score,,"17,801",2:26,Philips Arena,
"Sat, Nov 7, 2009",7:30p,Boston Celtics,86,New Jersey Nets,76,Box Score,,"16,119",2:15,Izod Center,
"Sat, Nov 7, 2009",8:00p,Charlotte Bobcats,90,Chicago Bulls,93,Box Score,,"21,108",2:19,United Center,
"Sat, Nov 7, 2009",8:30p,Toronto Raptors,101,Dallas Mavericks,129,Box Score,,"19,977",2:10,American Airlines Center,
"Sat, Nov 7, 2009",8:30p,New York Knicks,87,Milwaukee Bucks,102,Box Score,,"15,486",2:02,Bradley Center,
"Sat, Nov 7, 2009",9:00p,Sacramento Kings,104,Utah Jazz,99,Box Score,,"18,825",2:18,EnergySolutions Arena,
"Sat, Nov 7, 2009",10:30p,Memphis Grizzlies,110,Los Angeles Clippers,113,Box Score,,"15,399",2:28,STAPLES Center,
"Sun, Nov 8, 2009",1:00p,Philadelphia 76ers,81,Detroit Pistons,88,Box Score,,"17,187",2:16,The Palace of Auburn Hills,
"Sun, Nov 8, 2009",1:00p,Phoenix Suns,102,Washington Wizards,90,Box Score,,"14,143",2:11,Verizon Center,
"Sun, Nov 8, 2009",7:00p,Orlando Magic,74,Oklahoma City Thunder,102,Box Score,,"18,203",2:17,Oklahoma City Arena,
"Sun, Nov 8, 2009",9:00p,Minnesota Timberwolves,93,Portland Trail Blazers,116,Box Score,,"20,306",2:08,Rose Garden Arena,
"Sun, Nov 8, 2009",9:00p,Golden State Warriors,107,Sacramento Kings,120,Box Score,,"10,760",2:15,Power Balance Pavilion,
"Sun, Nov 8, 2009",9:30p,New Orleans Hornets,88,Los Angeles Lakers,104,Box Score,,"18,997",2:09,STAPLES Center,
"Mon, Nov 9, 2009",7:00p,Phoenix Suns,119,Philadelphia 76ers,115,Box Score,,"10,205",2:14,Wachovia Center,
"Mon, Nov 9, 2009",7:30p,Utah Jazz,95,New York Knicks,93,Box Score,,"19,355",2:04,Madison Square Garden (IV),
"Mon, Nov 9, 2009",8:30p,Toronto Raptors,124,San Antonio Spurs,131,Box Score,,"17,714",2:35,AT&T Center,
"Mon, Nov 9, 2009",10:30p,Minnesota Timberwolves,105,Golden State Warriors,146,Box Score,,"15,468",2:16,Oracle Arena,
"Mon, Nov 9, 2009",10:30p,New Orleans Hornets,112,Los Angeles Clippers,84,Box Score,,"14,760",2:09,STAPLES Center,
"Tue, Nov 10, 2009",7:00p,Orlando Magic,93,Charlotte Bobcats,81,Box Score,,"13,415",2:02,Time Warner Cable Arena,
"Tue, Nov 10, 2009",7:30p,Washington Wizards,76,Miami Heat,90,Box Score,,"15,054",2:16,AmericanAirlines Arena,
"Tue, Nov 10, 2009",8:00p,Denver Nuggets,90,Chicago Bulls,89,Box Score,,"21,409",2:21,United Center,
"Tue, Nov 10, 2009",8:00p,Portland Trail Blazers,93,Memphis Grizzlies,79,Box Score,,"10,589",2:25,FedEx Forum,
"Tue, Nov 10, 2009",8:30p,Houston Rockets,103,Dallas Mavericks,121,Box Score,,"19,720",2:14,American Airlines Center,
"Tue, Nov 10, 2009",10:00p,Oklahoma City Thunder,98,Sacramento Kings,101,Box Score,,"10,523",2:29,Power Balance Pavilion,
"Wed, Nov 11, 2009",7:00p,Golden State Warriors,94,Indiana Pacers,108,Box Score,,"10,682",2:16,Conseco Fieldhouse,
"Wed, Nov 11, 2009",7:00p,Chicago Bulls,89,Toronto Raptors,99,Box Score,,"16,310",2:16,Air Canada Centre,
"Wed, Nov 11, 2009",7:30p,Utah Jazz,86,Boston Celtics,105,Box Score,,"18,624",2:09,TD Garden,
"Wed, Nov 11, 2009",7:30p,Charlotte Bobcats,75,Detroit Pistons,98,Box Score,,"15,417",2:19,The Palace of Auburn Hills,
"Wed, Nov 11, 2009",7:30p,Philadelphia 76ers,82,New Jersey Nets,79,Box Score,,"10,714",2:18,Izod Center,
"Wed, Nov 11, 2009",7:30p,Atlanta Hawks,114,New York Knicks,101,Box Score,,"19,699",2:10,Madison Square Garden (IV),
"Wed, Nov 11, 2009",8:00p,Denver Nuggets,102,Milwaukee Bucks,108,Box Score,,"12,987",2:24,Bradley Center,
"Wed, Nov 11, 2009",8:00p,Portland Trail Blazers,107,Minnesota Timberwolves,84,Box Score,,"13,555",2:07,Target Center,
"Wed, Nov 11, 2009",8:00p,Cleveland Cavaliers,102,Orlando Magic,93,Box Score,,"17,461",2:23,Amway Arena,
"Wed, Nov 11, 2009",8:30p,Memphis Grizzlies,79,Houston Rockets,104,Box Score,,"17,220",2:07,Toyota Center,
"Wed, Nov 11, 2009",8:30p,Dallas Mavericks,83,San Antonio Spurs,92,Box Score,,"18,581",2:18,AT&T Center,
"Wed, Nov 11, 2009",10:30p,Oklahoma City Thunder,83,Los Angeles Clippers,79,Box Score,,"14,248",2:15,STAPLES Center,
"Wed, Nov 11, 2009",10:30p,New Orleans Hornets,104,Phoenix Suns,124,Box Score,,"16,517",2:23,US Airways Center,
"Thu, Nov 12, 2009",8:00p,Cleveland Cavaliers,111,Miami Heat,104,Box Score,,"19,600",2:49,AmericanAirlines Arena,
"Thu, Nov 12, 2009",10:30p,Phoenix Suns,102,Los Angeles Lakers,121,Box Score,,"18,997",2:30,STAPLES Center,
"Fri, Nov 13, 2009",7:00p,New Jersey Nets,72,Orlando Magic,88,Box Score,,"17,461",2:15,Amway Arena,
"Fri, Nov 13, 2009",7:00p,Utah Jazz,112,Philadelphia 76ers,90,Box Score,,"10,738",2:04,Wachovia Center,
"Fri, Nov 13, 2009",7:30p,Golden State Warriors,121,New York Knicks,107,Box Score,,"19,763",2:11,Madison Square Garden (IV),
"Fri, Nov 13, 2009",8:00p,Atlanta Hawks,97,Boston Celtics,86,Box Score,,"18,624",2:29,TD Garden,
"Fri, Nov 13, 2009",8:00p,Dallas Mavericks,89,Minnesota Timberwolves,77,Box Score,,"12,372",2:09,Target Center,
"Fri, Nov 13, 2009",8:00p,Portland Trail Blazers,86,New Orleans Hornets,78,Box Score,,"14,742",2:20,New Orleans Arena,
"Fri, Nov 13, 2009",10:00p,Houston Rockets,100,Sacramento Kings,109,Box Score,,"11,762",2:09,Power Balance Pavilion,
"Fri, Nov 13, 2009",10:30p,Los Angeles Lakers,79,Denver Nuggets,105,Box Score,,"19,141",2:25,Pepsi Center,
"Fri, Nov 13, 2009",10:30p,Toronto Raptors,104,Los Angeles Clippers,89,Box Score,,"15,615",2:13,STAPLES Center,
"Sat, Nov 14, 2009",7:00p,New Orleans Hornets,98,Atlanta Hawks,121,Box Score,,"18,572",2:12,Philips Arena,
"Sat, Nov 14, 2009",7:00p,Portland Trail Blazers,80,Charlotte Bobcats,74,Box Score,,"15,872",2:21,Time Warner Cable Arena,
"Sat, Nov 14, 2009",7:00p,Boston Celtics,104,Indiana Pacers,113,Box Score,,"18,165",2:21,Conseco Fieldhouse,
"Sat, Nov 14, 2009",7:00p,Detroit Pistons,106,Washington Wizards,103,Box Score,,"20,173",2:31,Verizon Center,
"Sat, Nov 14, 2009",7:30p,Utah Jazz,103,Cleveland Cavaliers,107,Box Score,,"20,562",2:16,Quicken Loans Arena,
"Sat, Nov 14, 2009",7:30p,New Jersey Nets,80,Miami Heat,81,Box Score,,"17,124",2:15,AmericanAirlines Arena,
"Sat, Nov 14, 2009",8:00p,Philadelphia 76ers,88,Chicago Bulls,94,Box Score,,"21,837",2:19,United Center,
"Sat, Nov 14, 2009",8:00p,Minnesota Timberwolves,87,Memphis Grizzlies,97,Box Score,,"10,019",2:11,FedEx Forum,
"Sat, Nov 14, 2009",8:30p,Golden State Warriors,125,Milwaukee Bucks,129,Box Score,,"14,978",2:19,Bradley Center,
"Sat, Nov 14, 2009",8:30p,Oklahoma City Thunder,101,San Antonio Spurs,98,Box Score,,"17,947",2:29,AT&T Center,
"Sun, Nov 15, 2009",6:00p,Dallas Mavericks,95,Detroit Pistons,90,Box Score,,"18,215",2:14,The Palace of Auburn Hills,
"Sun, Nov 15, 2009",7:00p,Los Angeles Clippers,101,Oklahoma City Thunder,93,Box Score,,"17,715",2:23,Oklahoma City Arena,
"Sun, Nov 15, 2009",8:00p,Toronto Raptors,100,Phoenix Suns,101,Box Score,,"16,605",2:13,US Airways Center,
"Sun, Nov 15, 2009",9:30p,Houston Rockets,101,Los Angeles Lakers,91,Box Score,,"18,997",2:11,STAPLES Center,
"Mon, Nov 16, 2009",7:00p,Portland Trail Blazers,95,Atlanta Hawks,99,Box Score,OT,"12,977",2:34,Philips Arena,
"Mon, Nov 16, 2009",7:00p,Charlotte Bobcats,91,Orlando Magic,97,Box Score,,"17,461",2:32,Amway Arena,
"Mon, Nov 16, 2009",8:00p,Dallas Mavericks,115,Milwaukee Bucks,113,Box Score,OT,"13,683",2:26,Bradley Center,
"Tue, Nov 17, 2009",7:00p,Golden State Warriors,108,Cleveland Cavaliers,114,Box Score,,"20,562",2:12,Quicken Loans Arena,
"Tue, Nov 17, 2009",7:30p,Oklahoma City Thunder,100,Miami Heat,87,Box Score,,"14,443",2:23,AmericanAirlines Arena,
"Tue, Nov 17, 2009",7:30p,Indiana Pacers,91,New Jersey Nets,83,Box Score,,"11,332",2:13,Izod Center,
"Tue, Nov 17, 2009",8:00p,Los Angeles Clippers,102,New Orleans Hornets,110,Box Score,,"13,116",2:21,New Orleans Arena,
"Tue, Nov 17, 2009",8:30p,Phoenix Suns,111,Houston Rockets,105,Box Score,,"16,396",2:17,Toyota Center,
"Tue, Nov 17, 2009",9:00p,Toronto Raptors,112,Denver Nuggets,130,Box Score,,"16,446",2:20,Pepsi Center,
"Tue, Nov 17, 2009",10:00p,Chicago Bulls,101,Sacramento Kings,87,Box Score,,"12,634",2:07,Power Balance Pavilion,
"Tue, Nov 17, 2009",10:30p,Detroit Pistons,93,Los Angeles Lakers,106,Box Score,,"18,997",2:15,STAPLES Center,
"Wed, Nov 18, 2009",7:00p,Miami Heat,90,Atlanta Hawks,105,Box Score,,"18,729",2:19,Philips Arena,
"Wed, Nov 18, 2009",7:00p,New York Knicks,110,Indiana Pacers,103,Box Score,,"12,258",2:28,Conseco Fieldhouse,
"Wed, Nov 18, 2009",7:00p,Oklahoma City Thunder,94,Orlando Magic,108,Box Score,,"17,461",2:08,Amway Arena,
"Wed, Nov 18, 2009",7:00p,Charlotte Bobcats,84,Philadelphia 76ers,86,Box Score,,"11,585",2:22,Wachovia Center,
"Wed, Nov 18, 2009",7:00p,Cleveland Cavaliers,91,Washington Wizards,108,Box Score,,"20,173",2:30,Verizon Center,
"Wed, Nov 18, 2009",7:30p,Golden State Warriors,95,Boston Celtics,109,Box Score,,"18,624",2:18,TD Garden,
"Wed, Nov 18, 2009",8:00p,Los Angeles Clippers,91,Memphis Grizzlies,106,Box Score,,"10,012",2:13,FedEx Forum,
"Wed, Nov 18, 2009",8:00p,New Jersey Nets,85,Milwaukee Bucks,99,Box Score,,"13,479",2:07,Bradley Center,
"Wed, Nov 18, 2009",8:00p,Houston Rockets,97,Minnesota Timberwolves,84,Box Score,,"11,137",2:05,Target Center,
"Wed, Nov 18, 2009",9:00p,Toronto Raptors,91,Utah Jazz,104,Box Score,,"17,879",2:09,EnergySolutions Arena,
"Wed, Nov 18, 2009",9:30p,San Antonio Spurs,94,Dallas Mavericks,99,Box Score,OT,"20,110",2:49,American Airlines Center,
"Wed, Nov 18, 2009",10:00p,Detroit Pistons,81,Portland Trail Blazers,87,Box Score,,"20,391",2:21,Rose Garden Arena,
"Thu, Nov 19, 2009",8:00p,Phoenix Suns,103,New Orleans Hornets,110,Box Score,,"14,520",2:30,New Orleans Arena,
"Thu, Nov 19, 2009",8:30p,Utah Jazz,90,San Antonio Spurs,83,Box Score,,"17,519",2:13,AT&T Center,
"Thu, Nov 19, 2009",10:30p,Chicago Bulls,93,Los Angeles Lakers,108,Box Score,,"18,997",2:19,STAPLES Center,
"Fri, Nov 20, 2009",7:00p,Cleveland Cavaliers,105,Indiana Pacers,95,Box Score,,"18,165",2:18,Conseco Fieldhouse,
"Fri, Nov 20, 2009",7:00p,Memphis Grizzlies,102,Philadelphia 76ers,97,Box Score,,"14,269",2:20,Wachovia Center,
